"freq,nrg_bal,siec,unit,geo\TIME_PERIOD"	2021	2022	2023	2024
"A,NRG_CL_E,C0350-0370,TJ_GCV,EA20"	647.746	515.974	0	321.264
"A,NRG_CL_E,C0350-0370,TJ_GCV,EA21"	647.746	515.974	0	321.264
"A,NRG_CL_E,C0350-0370,TJ_GCV,EE"	647.746	515.974	0	321.264
"A,NRG_CL_E,C0350-0370,TJ_GCV,EL"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,ES"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,EU27_2020"	647.746	515.974	0	321.264
"A,NRG_CL_E,C0350-0370,TJ_GCV,FI"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,FR"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,GE"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,HR"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,HU"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,IE"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,IS"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,IT"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,LI"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,LT"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,LU"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,LV"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,MD"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,ME"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,MK"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,MT"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,NL"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,NO"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,PL"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,PT"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,RO"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,RS"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,SE"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,SI"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,SK"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,TR"	0	0	0	0
"A,NRG_CL_E,C0350-0370,TJ_GCV,UA"	: 	: 	: 	: 
"A,NRG_CL_E,C0350-0370,TJ_GCV,UK"	: 	: 	: 	: 
"A,NRG_CL_E,C0350-0370,TJ_GCV,XK"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,AL"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,AT"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,BA"	0	0	0	: 
"A,NRG_CL_E,C0360,TJ_GCV,BE"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,BG"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,CY"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,CZ"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,DE"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,DK"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,EA20"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,EA21"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,EE"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,EL"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,ES"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,EU27_2020"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,FI"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,FR"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,GE"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,HR"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,HU"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,IE"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,IS"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,IT"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,LI"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,LT"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,LU"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,LV"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,MD"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,ME"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,MK"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,MT"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,NL"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,NO"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,PL"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,PT"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,RO"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,RS"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,SE"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,SI"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,SK"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,TR"	0	0	0	0
"A,NRG_CL_E,C0360,TJ_GCV,UA"	: 	: 	: 	: 
"A,NRG_CL_E,C0360,TJ_GCV,UK"	: 	: 	: 	: 
"A,NRG_CL_E,C0360,TJ_GCV,XK"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,AL"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,AT"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,BA"	0	0	0	: 
"A,NRG_CL_E,C0371,TJ_GCV,BE"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,BG"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,CY"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,CZ"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,DE"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,DK"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,EA20"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,EA21"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,EE"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,EL"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,ES"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,EU27_2020"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,FI"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,FR"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,GE"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,HR"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,HU"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,IE"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,IS"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,IT"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,LI"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,LT"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,LU"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,LV"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,MD"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,ME"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,MK"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,MT"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,NL"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,NO"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,PL"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,PT"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,RO"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,RS"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,SE"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,SI"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,SK"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,TR"	0	0	0	0
"A,NRG_CL_E,C0371,TJ_GCV,UA"	: 	: 	: 	: 
"A,NRG_CL_E,C0371,TJ_GCV,UK"	: 	: 	: 	: 
"A,NRG_CL_E,C0371,TJ_GCV,XK"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,AL"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,AT"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,BA"	0	0	0	: 
"A,NRG_CL_E,C0379,TJ_GCV,BE"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,BG"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,CY"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,CZ"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,DE"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,DK"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,EA20"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,EA21"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,EE"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,EL"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,ES"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,EU27_2020"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,FI"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,FR"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,GE"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,HR"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,HU"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,IE"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,IS"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,IT"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,LI"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,LT"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,LU"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,LV"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,MD"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,ME"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,MK"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,MT"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,NL"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,NO"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,PL"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,PT"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,RO"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,RS"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,SE"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,SI"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,SK"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,TR"	0	0	0	0
"A,NRG_CL_E,C0379,TJ_GCV,UA"	: 	: 	: 	: 
"A,NRG_CL_E,C0379,TJ_GCV,UK"	: 	: 	: 	: 
"A,NRG_CL_E,C0379,TJ_GCV,XK"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,AL"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,AT"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,BA"	0	0	0	: 
"A,NRG_CM_E,C0350,TJ_GCV,BE"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,BG"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,CY"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,CZ"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,DE"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,DK"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,EA20"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,EA21"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,EE"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,EL"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,ES"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,EU27_2020"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,FI"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,FR"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,GE"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,HR"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,HU"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,IE"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,IS"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,IT"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,LI"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,LT"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,LU"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,LV"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,MD"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,ME"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,MK"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,MT"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,NL"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,NO"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,PL"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,PT"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,RO"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,RS"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,SE"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,SI"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,SK"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,TR"	0	0	0	0
"A,NRG_CM_E,C0350,TJ_GCV,UA"	: 	: 	: 	: 
"A,NRG_CM_E,C0350,TJ_GCV,UK"	: 	: 	: 	: 
"A,NRG_CM_E,C0350,TJ_GCV,XK"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,AL"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,AT"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,BA"	0	0	0	: 
"A,NRG_CM_E,C0350-0370,TJ_GCV,BE"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,BG"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,CY"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,CZ"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,DE"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,DK"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,EA20"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,EA21"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,EE"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,EL"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,ES"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,EU27_2020"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,FI"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,FR"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,GE"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,HR"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,HU"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,IE"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,IS"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,IT"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,LI"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,LT"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,LU"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,LV"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,MD"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,ME"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,MK"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,MT"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,NL"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,NO"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,PL"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,PT"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,RO"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,RS"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,SE"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,SI"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,SK"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,TR"	0	0	0	0
"A,NRG_CM_E,C0350-0370,TJ_GCV,UA"	: 	: 	: 	: 
"A,NRG_CM_E,C0350-0370,TJ_GCV,UK"	: 	: 	: 	: 
"A,NRG_CM_E,C0350-0370,TJ_GCV,XK"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,AL"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,AT"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,BA"	0	0	0	: 
"A,NRG_CM_E,C0360,TJ_GCV,BE"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,BG"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,CY"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,CZ"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,DE"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,DK"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,EA20"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,EA21"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,EE"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,EL"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,ES"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,EU27_2020"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,FI"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,FR"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,GE"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,HR"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,HU"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,IE"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,IS"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,IT"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,LI"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,LT"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,LU"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,LV"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,MD"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,ME"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,MK"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,MT"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,NL"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,NO"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,PL"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,PT"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,RO"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,RS"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,SE"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,SI"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,SK"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,TR"	0	0	0	0
"A,NRG_CM_E,C0360,TJ_GCV,UA"	: 	: 	: 	: 
"A,NRG_CM_E,C0360,TJ_GCV,UK"	: 	: 	: 	: 
"A,NRG_CM_E,C0360,TJ_GCV,XK"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,AL"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,AT"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,BA"	0	0	0	: 
"A,NRG_CM_E,C0371,TJ_GCV,BE"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,BG"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,CY"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,CZ"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,DE"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,DK"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,EA20"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,EA21"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,EE"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,EL"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,ES"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,EU27_2020"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,FI"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,FR"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,GE"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,HR"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,HU"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,IE"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,IS"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,IT"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,LI"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,LT"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,LU"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,LV"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,MD"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,ME"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,MK"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,MT"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,NL"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,NO"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,PL"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,PT"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,RO"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,RS"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,SE"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,SI"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,SK"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,TR"	0	0	0	0
"A,NRG_CM_E,C0371,TJ_GCV,UA"	: 	: 	: 	: 
"A,NRG_CM_E,C0371,TJ_GCV,UK"	: 	: 	: 	: 
"A,NRG_CM_E,C0371,TJ_GCV,XK"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,AL"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,AT"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,BA"	0	0	0	: 
"A,NRG_CM_E,C0379,TJ_GCV,BE"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,BG"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,CY"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,CZ"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,DE"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,DK"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,EA20"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,EA21"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,EE"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,EL"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,ES"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,EU27_2020"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,FI"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,FR"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,GE"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,HR"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,HU"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,IE"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,IS"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,IT"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,LI"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,LT"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,LU"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,LV"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,MD"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,ME"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,MK"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,MT"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,NL"	0	0	0	0
"A,NRG_CM_E,C0379,TJ_GCV,NO"	0	0	0	0
